pin14,street_number,dir,street_name,type,sq_ft,ward,community_area,zoning_classification,tif_district
20232130390000,6442,S,DORCHESTER,AVE,2710,20,WOODLAWN,RS-2,Woodlawn
20232130360000,6430,S,DORCHESTER,AVE,7274,20,WOODLAWN,RS-2,Woodlawn
20232030140000,6357,S,DORCHESTER,AVE,2685,20,WOODLAWN,PD 456,Woodlawn
20232030130000,6357,S,DORCHESTER,AVE,2262,20,WOODLAWN,PD 456,Woodlawn
20232030120000,6349,S,DORCHESTER,AVE,2491,20,WOODLAWN,PD 456,Woodlawn
20232030150000,6345,S,DORCHESTER,AVE,4379,20,WOODLAWN,C1-3,Woodlawn
20232030110000,6345,S,DORCHESTER,AVE,3127,20,WOODLAWN,PD 456,Woodlawn
20232030100000,6341,S,DORCHESTER,AVE,3424,20,WOODLAWN,PD 456,Woodlawn
20232030090000,6339,S,DORCHESTER,AVE,2288,20,WOODLAWN,PD 456,Woodlawn
20232030080000,6337,S,DORCHESTER,AVE,2410,20,WOODLAWN,PD 456,Woodlawn
20232030060000,6331,S,DORCHESTER,AVE,2537,20,WOODLAWN,PD 456,Woodlawn
20232030070000,6331,S,DORCHESTER,AVE,2625,20,WOODLAWN,PD 456,Woodlawn
20144100050000,6149,S,DORCHESTER,AVE,12515,20,WOODLAWN,RM-5,Woodlawn
20144120220000,1200,E,63RD,ST,7168,20,WOODLAWN,PD 723,Woodlawn
20143180160000,1160,E,63RD,ST,10515,20,WOODLAWN,PD 723,Woodlawn
20143180150000,1154,E,63RD,ST,7718,20,WOODLAWN,PD 723,Woodlawn
20143180130000,1148,E,63RD,ST,7841,20,WOODLAWN,PD 723,Woodlawn
20231070150000,1137,E,63RD,ST,16969,20,WOODLAWN,PD 723,Woodlawn
20143170300000,1134,E,63RD,ST,7781,20,WOODLAWN,PD 723,Woodlawn
20143170270000,1128,E,63RD,ST,8040,20,WOODLAWN,PD 723,Woodlawn
20231070140000,1127,E,63RD,ST,16820,20,WOODLAWN,PD 723,Woodlawn
20143170260000,1126,E,63RD,ST,2613,20,WOODLAWN,PD 723,Woodlawn
20143170250000,1122,E,63RD,ST,5451,20,WOODLAWN,PD 723,Woodlawn
20231070130000,1121,E,63RD,ST,8604,20,WOODLAWN,PD 723,Woodlawn
20231070120000,1117,E,63RD,ST,8605,20,WOODLAWN,PD 723,Woodlawn
20143170150000,1116,E,63RD,ST,7718,20,WOODLAWN,PD723/RM-5,Woodlawn
20143170320000,1106,E.,63RD,ST,6919,20,WOODLAWN,PD723/RM-5,Woodlawn
20143170310000,1106,E.,63RD,ST,8586,20,WOODLAWN,PD723/RM-5,Woodlawn
20231070010000,1101,E,63RD,ST,15380,20,WOODLAWN,PD 723,Woodlawn
20232040050000,,,,,1154,20,WOODLAWN,RM-5,Woodlawn
20143160290000,1028,E,63RD,ST,11301,20,WOODLAWN,PD 723,Woodlawn
20143160280000,1022,E,63RD,ST,5588,20,WOODLAWN,PD 723,Woodlawn
20231060010000,1017,E,63RD,ST,15667,20,WOODLAWN,PD 723,Woodlawn
20143160260000,1000,E,63RD,ST,22584,20,WOODLAWN,PD 723,Woodlawn
20232110150000,6525,S,WOODLAWN,AVE,3377,20,WOODLAWN,RS-2,Woodlawn
20231110140000,6464,S,WOODLAWN,AVE,4515,20,WOODLAWN,RM-5,Woodlawn
20143170170000,6212,S,UNIVERSITY,AVE,4527,20,WOODLAWN,RM-5,Woodlawn
20143180040000,6213,S,UNIVERSITY,AVE,9941,20,WOODLAWN,RM-5,Woodlawn
20143170190000,6220,S,UNIVERSITY,AVE,9056,20,WOODLAWN,RM-5,Woodlawn
20143170220000,6234,S,UNIVERSITY,AVE,8181,20,WOODLAWN,PD 723,Woodlawn
20143170230000,6234,S,UNIVERSITY,AVE,5774,20,WOODLAWN,PD 723,Woodlawn
20143170240000,6240,S,UNIVERSITY,AVE,5434,20,WOODLAWN,PD 723,Woodlawn
20143170290000,6250,S,UNIVERSITY,AVE,3753,20,WOODLAWN,PD 723,Woodlawn
20231070180000,6320,S,UNIVERSITY,AVE,29487,20,WOODLAWN,PD 723,Woodlawn
20231110160000,6444,S,WOODLAWN,AVE,5495,20,WOODLAWN,RM-5,Woodlawn
20231110150000,6440,S,WOODLAWN,AVE,5005,20,WOODLAWN,RM-5,Woodlawn
20232100030000,6437,S,WOODLAWN,AVE,8236,20,WOODLAWN,RS-2,Woodlawn
20231080110000,6330,S,WOODLAWN,AVE,10366,20,WOODLAWN,PD 723,Woodlawn
20231080140000,6324,S,WOODLAWN,,3430,20,WOODLAWN,PD 723,Woodlawn
20231080080000,6320,S,WOODLAWN,,5582,20,WOODLAWN,PD 723,Woodlawn
20144120060000,6221,S,WOODLAWN,AVE,4171,20,WOODLAWN,RM-5,Woodlawn
20144120070000,6221,S,WOODLAWN,AVE,4160,20,WOODLAWN,RM-5,Woodlawn
20143180190000,6218,S,WOODLAWN,AVE,32028,20,WOODLAWN,RM-5,Woodlawn
20231150360000,948,E,MARQUETTE,RD,6144,20,WOODLAWN,RT-4,Woodlawn
20231150180000,930,E,MARQUETTE,RD,6082,20,WOODLAWN,RT-4,Woodlawn
20231090360000,6458,S,UNIVERSITY,AVE,4335,20,WOODLAWN,RT-4/B1-2,Woodlawn
20232210210000,1524,E,MARQUETTE,RD,5064,5,WOODLAWN,RM-5,Woodlawn
20232200240000,1442,E,MARQUETTE,RD,5040,20,WOODLAWN,RM-5,Woodlawn
20232200230000,1438,E,MARQUETTE,RD,6320,20,WOODLAWN,RM-5,Woodlawn
20232200210000,1430,E,MARQUETTE,RD,6324,20,WOODLAWN,RM-5,Woodlawn
20222230280000,6518,S,COTTAGE GROVE,AVE,20570,20,WOODLAWN,C1-2,Woodlawn
20231020080000,6441,S,COTTAGE GROVE,AVE,5701,20,WOODLAWN,B3-2,Woodlawn
20222150250000,6440,S,COTTAGE GROVE,AVE,6113,20,WOODLAWN,B3-3,Woodlawn
20232200180000,1420,E,MARQUETTE,RD,6303,20,WOODLAWN,RM-5,Woodlawn
20232200170000,1416,E,MARQUETTE,RD,5052,20,WOODLAWN,RM-5,Woodlawn
20232200140000,1402,E,MARQUETTE,RD,3721,20,WOODLAWN,RM-5,Woodlawn
20222150240000,6428,S,COTTAGE GROVE,AVE,12229,20,WOODLAWN,B3-3,Woodlawn
20222150200000,6400,S,COTTAGE GROVE,AVE,16846,20,WOODLAWN,B3-3,Woodlawn
20222070260000,6326,S,COTTAGE GROVE,AVE,2935,20,WOODLAWN,B3-3,Woodlawn
20231000040000,6315,S,COTTAGE GROVE,AVE,15592,20,WOODLAWN,B3-3,Woodlawn
20144160020000,1401,E,62ND,PL,14737,20,WOODLAWN,B3-3,Woodlawn
20144090280000,1364,E,62ND,ST,10390,20,WOODLAWN,RM-5,Woodlawn
20144080120000,1306,E,62ND,ST,3845,20,WOODLAWN,RM-5,Woodlawn
20143110360000,1126,E,62ND,ST,2502,20,WOODLAWN,RM-5,Woodlawn
20143110340000,1120,E,62ND,ST,1786,20,WOODLAWN,RM-5,Woodlawn
20144090070000,6121,S,KENWOOD,AVE,4672,20,WOODLAWN,RM-5,Woodlawn
20144090080000,6121,S,KENWOOD,AVE,3245,20,WOODLAWN,RM-5,Woodlawn
20144090060000,6121,S,KENWOOD,AVE,9725,20,WOODLAWN,RM-5,Woodlawn
20144080210000,6130,S,KENWOOD,AVE,8323,20,WOODLAWN,RM-5,Woodlawn
20144130300000,6200,S,KENWOOD,AVE,32506,20,WOODLAWN,RM-5,Woodlawn
20144140100000,6243,S,KENWOOD,AVE,6989,20,WOODLAWN,PD 456,Woodlawn
20232010230000,6344,S,KENWOOD,AVE,11419,20,WOODLAWN,RM-5,Woodlawn
20232130020000,6407,S,KENWOOD,AVE,2750,20,WOODLAWN,PD 456,Woodlawn
20232130040000,6411,S,KENWOOD,AVE,8248,20,WOODLAWN,RS-2,Woodlawn
20144080030000,6117,S,KIMBARK,AVE,8297,20,WOODLAWN,RM-5,Woodlawn
20144070210000,6148,S,KIMBARK,AVE,4318,20,WOODLAWN,RM-5,Woodlawn
20144080100000,6151,S,KIMBARK,AVE,3305,20,WOODLAWN,RM-5,Woodlawn
20144080110000,6153,S,KIMBARK,AVE,3852,20,WOODLAWN,RM-5,Woodlawn
20144120200000,6236,S,KIMBARK,ST,8260,20,WOODLAWN,RM-5,Woodlawn
20232100090000,6430,S,KIMBARK,AVE,8144,20,WOODLAWN,RS-2,Woodlawn
20232100110000,6434,S,KIMBARK,AVE,329,20,WOODLAWN,RS-2,Woodlawn
20232100100000,6434,S,KIMBARK,AVE,8227,20,WOODLAWN,RS-2,Woodlawn
20232100120000,6442,S,KIMBARK,AVE,6252,20,WOODLAWN,RS-2,Woodlawn
20232120100000,6445,S,KIMBARK,AVE,8256,20,WOODLAWN,RS-2,Woodlawn
20232100150000,6452,S,KIMBARK,AVE,10173,20,WOODLAWN,RS-2,Woodlawn
20232120160000,6515,S,KIMBARK,AVE,8265,20,WOODLAWN,RS-2,Woodlawn
20232110400000,6530,S,KIMBARK,AVE,8233,20,WOODLAWN,RS-2,Woodlawn
20232110430000,6542,S,KIMBARK,AVE,8233,20,WOODLAWN,RS-2,Woodlawn
20232120240000,6543,S,KIMBARK,AVE,4120,20,WOODLAWN,RS-2,Woodlawn
20232120250000,6545,S,KIMBARK,AVE,8242,20,WOODLAWN,RS-2,Woodlawn
20232110460000,6550,S,KIMBARK,AVE,3442,20,WOODLAWN,RS-2,Woodlawn
20231170160000,6541,S,GREENWOOD,AVE,3149,20,WOODLAWN,RT-4,Woodlawn
20232040080000,6314,S,BLACKSTONE,AVE,7435,20,WOODLAWN,RM-5,Woodlawn
20232040010000,6300,S,BLACKSTONE,AVE,18127,20,WOODLAWN,B3-5,Woodlawn
20231170060000,6519,S,GREENWOOD,AVE,3172,20,WOODLAWN,RT-4,Woodlawn
20231160140000,6504,S,GREENWOOD,AVE,6314,20,WOODLAWN,RT-4,Woodlawn
20231090020000,6349,S,GREENWOOD,AVE,3641,20,WOODLAWN,RT-4,Woodlawn
20231060460000,6334,S,GREENWOOD,AVE,7321,20,WOODLAWN,RT-4,Woodlawn
20231070100000,6331,S,GREENWOOD,AVE,3170,20,WOODLAWN,PD 723,Woodlawn
20231070090000,6329,S,GREENWOOD,AVE,3180,20,WOODLAWN,PD 723,Woodlawn
20231060430000,6328,S,GREENWOOD,AVE,3636,20,WOODLAWN,RT-4,Woodlawn
20231070080000,6327,S,GREENWOOD,,3184,20,WOODLAWN,PD 723,Woodlawn
20231070070000,6325,S,GREENWOOD,AVE,3191,20,WOODLAWN,PD 723,Woodlawn
20231070050000,6321,S,GREENWOOD,AVE,5824,20,WOODLAWN,PD 723,Woodlawn
20231070060000,6321,S,GREENWOOD,AVE,1161,20,WOODLAWN,PD 723,Woodlawn
20231070030000,6317,S,GREENWOOD,AVE,3242,20,WOODLAWN,PD 723,Woodlawn
20231070040000,6317,S,GREENWOOD,AVE,1076,20,WOODLAWN,PD 723,Woodlawn
20231070020000,6313,S,GREENWOOD,AVE,7668,20,WOODLAWN,PD 723,Woodlawn
20231060390000,6310,S,GREENWOOD,AVE,7472,20,WOODLAWN,PD 723,Woodlawn
20231060380000,6300,S,GREENWOOD,AVE,15373,20,WOODLAWN,PD 723,Woodlawn
20143170120000,6243,S,GREENWOOD,AVE,4518,20,WOODLAWN,RM-5,Woodlawn
20143170110000,6243,S,GREENWOOD,AVE,4523,20,WOODLAWN,RM-5,Woodlawn
20143170100000,6241,S,GREENWOOD,AVE,4514,20,WOODLAWN,PD 723,Woodlawn
20143170090000,6239,S,GREENWOOD,AVE,5147,20,WOODLAWN,PD 723,Woodlawn
20143170070000,6233,S,GREENWOOD,AVE,11182,20,WOODLAWN,PD 723,Woodlawn
20143170060000,6223,S,GREENWOOD,AVE,11204,20,WOODLAWN,RM-5,Woodlawn
20143160190000,6220,S,GREENWOOD,AVE,8764,20,WOODLAWN,RM-5,Woodlawn
20143160310000,6200,S,GREENWOOD,AVE,2598,20,WOODLAWN,RM-5,Woodlawn
20143160300000,6200,S,GREENWOOD,AVE,2599,20,WOODLAWN,RM-5,Woodlawn
20231180270000,6540,S,MINERVA,AVE,6284,20,WOODLAWN,RT-4,Woodlawn
20231110080000,6453,S,MINERVA,AVE,3730,20,WOODLAWN,RT-4,Woodlawn
20231100360000,6452,S,MINERVA,,5454,20,WOODLAWN,RT-4,Woodlawn
20231100350000,6450,S,MINERVA,AVE,4253,20,WOODLAWN,RT-4,Woodlawn
20231110070000,6449,S,MINERVA,AVE,4961,20,WOODLAWN,RT-4,Woodlawn
20231100320000,6440,S,MINERVA,AVE,3799,20,WOODLAWN,RT-4,Woodlawn
20231100300000,6436,S,MINERVA,AVE,3131,20,WOODLAWN,RT-4,Woodlawn
20231150190000,951,E,65TH,ST,2999,20,WOODLAWN,RT-4,Woodlawn
20231150010000,931,E,65TH,ST,6010,20,WOODLAWN,RT-4,Woodlawn
20231040740000,930,E,65TH,ST,13362,20,WOODLAWN,RT-4,Woodlawn
20231150280000,6536,S,ELLIS,AVE,3136,20,WOODLAWN,RT-4,Woodlawn
20231150290000,6536,S,ELLIS,AVE,3146,20,WOODLAWN,RT-4,Woodlawn
20231150300000,6536,S,ELLIS,AVE,6284,20,WOODLAWN,RT-4,Woodlawn
20231150270000,6526,S,ELLIS,AVE,6279,20,WOODLAWN,RT-4,Woodlawn
20231060290000,6431,S,ELLIS,AVE,1981,20,WOODLAWN,RT-4,Woodlawn
20231050530000,6404,S,ELLIS,AVE,6225,20,WOODLAWN,POS-2,Woodlawn
20231060210000,6401,S,ELLIS,AVE,5471,20,WOODLAWN,RT-4,Woodlawn
20231050520000,6400,S,ELLIS,AVE,5745,20,WOODLAWN,RT-4,Woodlawn
20231060150000,6347,S,ELLIS,AVE,1949,20,WOODLAWN,RT-4,Woodlawn
20231060140000,6345,S,ELLIS,AVE,1977,20,WOODLAWN,RT-4,Woodlawn
20231060130000,6343,S,ELLIS,AVE,1977,20,WOODLAWN,RT-4,Woodlawn
20231050440000,6338,S,ELLIS,AVE,6213,20,WOODLAWN,RT-4,Woodlawn
20143160080000,6241,S,ELLIS,AVE,6462,20,WOODLAWN,RM-5,Woodlawn
20143150210000,6230,S,ELLIS,AVE,4305,20,WOODLAWN,PD 1182,Woodlawn
20143160050000,6229,S,ELLIS,AVE,8655,20,WOODLAWN,RM-5,Woodlawn
20143160040000,6223,S,ELLIS,AVE,8655,20,WOODLAWN,RM-5,Woodlawn
20143150190000,6220,S,ELLIS,AVE,8608,20,WOODLAWN,PD 1182,Woodlawn
20143160030000,6219,S,ELLIS,AVE,8655,20,WOODLAWN,RM-5,Woodlawn
20143160020000,6215,S,ELLIS,AVE,8654,20,WOODLAWN,RM-5,Woodlawn
20143160010000,6201,S,ELLIS,AVE,22011,20,WOODLAWN,RM-5,Woodlawn
20143150150000,6200,S,ELLIS,AVE,17991,20,WOODLAWN,RM-5,Woodlawn
20232190160000,1512,E,65TH,PKWY,5040,5,WOODLAWN,RM-5,Woodlawn
20232190140000,1508,E,65TH,PL,2542,5,WOODLAWN,RM-5,Woodlawn
20232180120000,1458,E,65TH,PL,13623,20,WOODLAWN,RM-5,Woodlawn
20232200110000,1441,E,65TH,PL,6317,20,WOODLAWN,RM-5,Woodlawn
20232180100000,1436,E,65TH,PL,4939,20,WOODLAWN,RM-5,Woodlawn
20232200090000,1433,E,65TH,PL,5037,20,WOODLAWN,RM-5,Woodlawn
20232200080000,1429,E,65TH,PL,6576,20,WOODLAWN,RM-5,Woodlawn
20232180080000,1428,E,65TH,ST,4933,20,WOODLAWN,RM-5,Woodlawn
20232180060000,1418,E,65TH,PL,5522,20,WOODLAWN,RM-5,Woodlawn
20232180040000,1410,E,65TH,PL,4921,20,WOODLAWN,RM-5,Woodlawn
20232200030000,1409,E,65TH,PL,3760,20,WOODLAWN,RM-5,Woodlawn
20232180030000,1400,E,65TH,PL,4918,20,WOODLAWN,RM-5,Woodlawn
20232180020000,1400,E,65TH,PL,6625,20,WOODLAWN,RM-5,Woodlawn
20232110300000,1219,E,65TH,ST,4199,20,WOODLAWN,RS-2,Woodlawn
20231100380000,1112,E,65TH,ST,13948,20,WOODLAWN,RT-4,Woodlawn
20231170010000,1035,E,65TH,ST,6108,20,WOODLAWN,RT-4,Woodlawn
20231160130000,1021,E,65TH,ST,6088,20,WOODLAWN,RT-4,Woodlawn
20231060370000,1020,E,65TH,ST,5969,20,WOODLAWN,B1-2,Woodlawn
20232190110000,1549,E,65,ST,6277,5,WOODLAWN,RM-5/B3-5,Woodlawn
20231040170000,913,E,64TH,,6630,20,WOODLAWN,RT-4,Woodlawn
20231030240000,859,E,64TH,PL,5339,20,WOODLAWN,RT-4,Woodlawn
20232130320000,6414,S,DORCHESTER,AVE,4155,20,WOODLAWN,RS-2,Woodlawn
20231010190000,854,E,64TH,ST,2616,20,WOODLAWN,RM-5,Woodlawn
20231010180000,854,E,64TH,ST,3130,20,WOODLAWN,RM-5,Woodlawn
20231010200000,854,E,64TH,ST,2617,20,WOODLAWN,RM-5,Woodlawn
20231010170000,852,E,64TH,ST,3132,20,WOODLAWN,RM-5,Woodlawn
20231010160000,848,E,64TH,ST,5084,20,WOODLAWN,RM-5,Woodlawn
20231000180000,814,E,64TH,ST,3836,20,WOODLAWN,RM-5,Woodlawn
20231100180000,6459,S,UNIVERSITY,AVE,7877,20,WOODLAWN,RT-4,Woodlawn
20231080160000,1152,E,64TH,ST,12939,20,WOODLAWN,PD 723,Woodlawn
20231070200000,1124,E,64TH,ST,3128,20,WOODLAWN,PD 723,Woodlawn
20231070170000,1122,E,64TH,ST,6039,20,WOODLAWN,PD 723,Woodlawn
20231070190000,1118,E,64TH,ST,9165,20,WOODLAWN,PD 723,Woodlawn
20231090260000,1115,E,64TH,ST,9907,20,WOODLAWN,RT-4,Woodlawn
20231070110000,1110,E,64TH,ST,7834,20,WOODLAWN,PD 723,Woodlawn
20231050010000,935,E,63RD,ST,33219,20,WOODLAWN,PD 723,Woodlawn
20231010120000,855,E,63RD,PL,3554,20,WOODLAWN,RM-5,Woodlawn
20231010390000,839,E,63RD,ST,45256,20,WOODLAWN,B3-3,Woodlawn
20231010030000,835,E,63RD,PL,9816,20,WOODLAWN,RM-5,Woodlawn
20231010310000,8346,S,DREXEL,AVE,6632,20,WOODLAWN,RM-5,Woodlawn
20231140220000,6557,S,DREXEL,AVE,6146,20,WOODLAWN,RT-4,Woodlawn
20231130350000,6552,S,DREXEL,AVE,3142,20,WOODLAWN,RT-4,Woodlawn
20231140380000,6556,S,INGLESIDE,AVE,6164,20,WOODLAWN,RT-4,Woodlawn
20231140370000,6550,S,INGLESIDE,AVE,6325,20,WOODLAWN,RT-4,Woodlawn
20231050660000,6457,S,INGLESIDE,AVE,3543,20,WOODLAWN,RT-4,Woodlawn
20231050270000,6431,S,INGLESIDE,AVE,6224,20,WOODLAWN,RT-4,Woodlawn
20231050190000,6411,S,INGLESIDE,AVE,3120,20,WOODLAWN,RT-4,Woodlawn
20231040550000,6408,S,INGLESIDE,AVE,3300,20,WOODLAWN,RT-4,Woodlawn
20231050110000,6351,S,INGLESIDE,AVE,6225,20,WOODLAWN,RT-4,Woodlawn
20231050090000,6341,S,INGLESIDE,AVE,6225,20,WOODLAWN,RT-4,Woodlawn
20231050080000,6335,S,INGLESIDE,AVE,6225,20,WOODLAWN,RT-4,Woodlawn
20231050070000,6331,S,INGLESIDE,AVE,6225,20,WOODLAWN,RT-4,Woodlawn
20231130360000,6552,S,DREXEL,AVE,6185,20,WOODLAWN,RT-4,Woodlawn
20231130310000,6542,S,DREXEL,AVE,3141,20,WOODLAWN,RT-4,Woodlawn
20231130170000,6508,S,DREXEL,AVE,3141,20,WOODLAWN,RT-4,Woodlawn
20231040320000,6451,S,DREXEL,AVE,12568,20,WOODLAWN,RT-4,Woodlawn
20231030280000,6410,S,DREXEL,AVE,3318,20,WOODLAWN,RT-4,Woodlawn
20231040160000,6359,S,DREXEL,AVE,2758,20,WOODLAWN,RT-4,Woodlawn
20231010290000,6334,S,DREXEL,AVE,9283,20,WOODLAWN,RM-5,Woodlawn
20231030180000,6441,S,MARYLAND,AVE,3885,20,WOODLAWN,RT-4,Woodlawn
20231020170000,6432,S,MARYLAND,AVE,5783,20,WOODLAWN,RT-4,Woodlawn
20231030070000,6421,S,MARYLAND,AVE,3692,20,WOODLAWN,RT-4,Woodlawn
20231030050000,6415,S,MARYLAND,AVE,3720,20,WOODLAWN,RT-4,Woodlawn
20231020130000,6406,S,MARYLAND,AVE,12898,20,WOODLAWN,RT-4,Woodlawn
20231010080000,6353,S,MARYLAND,AVE,3063,20,WOODLAWN,RM-5,Woodlawn
20231000160000,6350,S,MARYLAND,AVE,3056,20,WOODLAWN,RM-5,Woodlawn
20231010060000,6347,S,MARYLAND,AVE,3064,20,WOODLAWN,RM-5,Woodlawn
20231000150000,6346,S,MARYLAND,AVE,6235,20,WOODLAWN,RM-5,Woodlawn
20231000140000,6342,S,MARYLAND,AVE,3117,20,WOODLAWN,RM-5,Woodlawn
20231000070000,6314,S,MARYLAND,AVE,12471,20,WOODLAWN,B3-3,Woodlawn
20231040070000,6331,S,DREXEL,AVE,6231,20,WOODLAWN,RT-4,Woodlawn
20231040030000,6315,S,DREXEL,AVE,6231,20,WOODLAWN,RT-4,Woodlawn
20231210220000,6000,S,DREXEL,AVE,6042,5,WOODLAWN,RT-4,Woodlawn
20232040020000,1433,E,63RD,ST,10679,20,WOODLAWN,B3-5,Woodlawn
20232040040000,1433,E,63RD,ST,1619,20,WOODLAWN,RM-5,Woodlawn
20232040030000,1433,E,63RD,ST,2135,20,WOODLAWN,RM-5,Woodlawn
20231170320000,6540,S,UNIVERSITY,AVE,6320,20,WOODLAWN,RT-4,Woodlawn
20232040070000,1418,E,63RD,PL,15441,20,WOODLAWN,RM-5,Woodlawn
20232040060000,1400,E,63RD,PL,15357,20,WOODLAWN,RM-5,Woodlawn
20232130500000,6512,S,DORCHESTER,AVE,7474,20,WOODLAWN,RS-2,Woodlawn
20232130470000,6506,S,DORCHESTER,AVE,2559,20,WOODLAWN,RS-2,Woodlawn
20232130440000,6460,S,DORCHESTER,AVE,4660,20,WOODLAWN,RS-2,Woodlawn
20222130350000,640,E,65TH,ST,2882,20,WOODLAWN,RT-4,West Woodlawn
20154050070000,6000,S,CHAMPLAIN,AVE,7199,20,WOODLAWN,RM-5,West Woodlawn
20154050240000,6042,S,CHAMPLAIN,AVE,3483,20,WOODLAWN,RM-5,West Woodlawn
20154060070000,6043,S,CHAMPLAIN,AVE,6503,20,WOODLAWN,RM-5,West Woodlawn
20222050110000,6323,S,CHAMPLAIN,AVE,3059,20,WOODLAWN,RT-4,West Woodlawn
20154080060000,6131,S,DR MARTIN LUTHER KING JR,DR,6095,20,WOODLAWN,RM-5,West Woodlawn
20154080080000,6141,S,DR MARTIN LUTHER KING JR,DR,6095,20,WOODLAWN,RM-5,West Woodlawn
20154030170000,6041,S,EBERHART,AVE,3122,20,WOODLAWN,RM-5,West Woodlawn
20222020010000,6305,S,EBERHART,AVE,6627,20,WOODLAWN,B3-3,West Woodlawn
20222090190000,6406,S,EBERHART,AVE,3062,20,WOODLAWN,RT-4,West Woodlawn
20222170260000,6512,S,EBERHART,,2979,20,WOODLAWN,RT-4,West Woodlawn
20222180050000,6513,S,EBERHART,,2932,20,WOODLAWN,RT-4,West Woodlawn
20224010170000,6739,S,EBERHART,AVE,1491,20,WOODLAWN,RS-3,West Woodlawn
20154160250000,402,E,63RD,ST,3030,20,WOODLAWN,B3-3,West Woodlawn
20154160240000,410,E,63RD,ST,3029,20,WOODLAWN,B3-3,West Woodlawn
20154180330000,512,E,63RD,ST,18110,20,WOODLAWN,B3-3,West Woodlawn
20222030010000,533,E,63RD,ST,3243,20,WOODLAWN,B3-3,West Woodlawn
20222030090000,555,E,63RD,ST,6101,20,WOODLAWN,B3-3,West Woodlawn
20154200300000,600,E,63RD,ST,32226,20,WOODLAWN,B3-3,West Woodlawn
20222040010000,601,E,63RD,ST,6053,20,WOODLAWN,B3-3,West Woodlawn
20222040030000,611,E,63RD,ST,2751,20,WOODLAWN,B3-3,West Woodlawn
20222040040000,615,E,63RD,ST,8254,20,WOODLAWN,B3-3,West Woodlawn
20222050010000,631,E,63RD,ST,6089,20,WOODLAWN,B3-3,West Woodlawn
20222050030000,645,E,63RD,ST,5503,20,WOODLAWN,B3-3,West Woodlawn
20222050050000,651,E,63RD,ST,4482,20,WOODLAWN,B3-3,West Woodlawn
20154210310000,652,E,63RD,ST,12472,20,WOODLAWN,B3-3,West Woodlawn
20154210320000,654,E,63RD,ST,6894,20,WOODLAWN,B3-3,West Woodlawn
20222050060000,655,E,63RD,ST,4348,20,WOODLAWN,B3-3,West Woodlawn
20154220270000,700,E,63RD,ST,19493,20,WOODLAWN,B3-3,West Woodlawn
20222290220000,6612,S,LANGLEY,AVE,3024,20,WOODLAWN,RT-4,West Woodlawn
20222140150000,6447,S,LANGLEY,AVE,3207,20,WOODLAWN,RT-4,West Woodlawn
20222130250000,6418,S,LANGLEY,AVE,3054,20,WOODLAWN,RT-4,West Woodlawn
20222050320000,6342,S,LANGLEY,AVE,3055,20,WOODLAWN,RT-4,West Woodlawn
20222050290000,6330,S,LANGLEY,AVE,4032,20,WOODLAWN,RT-4,West Woodlawn
20222050240000,6314,S,LANGLEY,AVE,3665,20,WOODLAWN,RT-4,West Woodlawn
20222050230000,6312,S,LANGLEY,AVE,3036,20,WOODLAWN,RT-4,West Woodlawn
20154140100000,6133,S,LANGLEY,AVE,3063,20,WOODLAWN,RM-5,West Woodlawn
20154130190000,6110,S,LANGLEY,AVE,3671,20,WOODLAWN,RM-5,West Woodlawn
20222060010000,703,E,63RD,ST,14319,20,WOODLAWN,B3-3,West Woodlawn
20222060020000,715,E,63RD,ST,2751,20,WOODLAWN,B3-3,West Woodlawn
20222030450000,550,W,64TH,ST,2775,20,WOODLAWN,RT-4,West Woodlawn
20222040200000,600,E,64TH,ST,1780,20,WOODLAWN,RT-4,West Woodlawn
20222040210000,602,E,64TH,ST,4428,20,WOODLAWN,RT-4,West Woodlawn
20222130010000,633,E,64TH,ST,5585,20,WOODLAWN,RT-4,West Woodlawn
20222050220000,640,E,64TH,ST,6037,20,WOODLAWN,RT-4,West Woodlawn
20154030030000,507,E,60TH,ST,3074,20,WOODLAWN,RM-5,West Woodlawn
20154020290000,451,E,60TH,ST,24775,20,WOODLAWN,RM-5,West Woodlawn
20154020280000,451,E,60TH,ST,7317,20,WOODLAWN,RM-5,West Woodlawn
20222130360000,640,E,65TH,ST,2882,20,WOODLAWN,RT-4,West Woodlawn
20222270200000,532,E,67,ST,3185,20,WOODLAWN,RT-4,West Woodlawn
20224020430000,551,E,67,ST,3188,20,WOODLAWN,B3-2,West Woodlawn
20222280420000,622,E,67,ST,6240,20,WOODLAWN,RT-4,West Woodlawn
20222290410000,650,E,67,ST,3002,20,WOODLAWN,B3-2,West Woodlawn
20222270210000,536,E,67TH,ST,3052,20,WOODLAWN,RT-4,West Woodlawn
20222290400000,648,E,67TH,ST,3002,20,WOODLAWN,B3-2,West Woodlawn
20222290420000,652,E,67TH,ST,3002,20,WOODLAWN,B3-2,West Woodlawn
20222300350000,702,E,67TH,ST,1801,20,WOODLAWN,RT-4,West Woodlawn
20222300400000,712,E,67TH,ST,3002,20,WOODLAWN,B3-2,West Woodlawn
20154140260000,6130,S,EVANS,AVE,3069,20,WOODLAWN,RM-5,West Woodlawn
20222060220000,6318,S,EVANS,AVE,3055,20,WOODLAWN,RT-4,West Woodlawn
20222070110000,6331,S,EVANS,AVE,3057,20,WOODLAWN,RT-4,West Woodlawn
20222060280000,6336,S,EVANS,AVE,3664,20,WOODLAWN,RT-4,West Woodlawn
